frame,t,rz,pgz,lv_norm,av_norm,dof_pos_err_max,dof_vel_max,tau_max,tau_cmd_max,tau_sat,saturated_joints,L_fz,R_fz,non_foot_cf_sum,top_cf,top_cf_val,kneeL,kneeR,kneeL_vel,kneeR_vel,kneeL_tau,kneeR_tau,kneeL_tau_cmd,kneeR_tau_cmd,knee_hit,bz_min
0,0.0,0.4103291630744934,0.9999562098746537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,pelvis,0.0,0.4244813621044159,0.4350522756576538,0.0,0.0,0.0,0.0,0.0,0.0,False,0.03364689
1,0.02,0.40812188386917114,0.9999562098746537,0.192132,0.068791136,1.4901161193847656e-08,1.3132964372634888,0.0,1.3132964,0.0,,0.0,22.089802,0,right_ankle_roll_link,22.089802,0.4244813621044159,0.4350522756576538,0.012202293612062931,-0.16971461474895477,0.0,0.0,-0.03660688,0.5091438,False,0.0314397
2,0.04,0.40516412258148193,0.9999667188749299,0.17573176,0.6272769,0.088559091091156,6.679009437561035,1.3132964,27.121758,0.0,,38.887516,38.887516,0,left_ankle_roll_link,38.887516,0.47356897592544556,0.5236113667488098,4.224009990692139,6.679009437561035,-0.03660688,0.5091438,-16.59904,-27.121758,False,0.030997872
3,0.06,0.410525918006897,0.995727970264852,1.5222374,8.059941,0.4002099335193634,36.01874542236328,27.121758,140.07303,0.0,,0.0,0.0,0,pelvis,0.0,0.14038965106010437,0.03484233841300011,-35.669803619384766,-36.01874542236328,-16.59904,-27.121758,129.73676,140.07303,False,0.032046437
4,0.08,0.41054975986480713,0.9996266147936694,1.7912126,9.083899,0.46325618028640747,36.03437423706055,54.0,134.5373,0.22727272727272727,"left_hip_pitch_joint,left_knee_joint,right_hip_pitch_joint,right_hip_yaw_joint,right_knee_joint",0.0,0.0,0,pelvis,0.0,0.7564610242843628,0.6531304717063904,35.992977142333984,35.47259521484375,54.0,54.0,-134.5373,-123.864044,False,0.044832975
5,0.1,0.4119853973388672,0.9973473425488919,1.0086906,5.471201,0.3832497000694275,36.79313278198242,54.0,129.38037,0.22727272727272727,"left_hip_pitch_joint,left_hip_yaw_joint,left_knee_joint,right_hip_yaw_joint,right_knee_joint",23.548857,47.109108,0,right_ankle_roll_link,47.109108,0.15157900750637054,0.05556229501962662,-35.34212112426758,-33.00705337524414,-54.0,-54.0,127.85856,129.38037,False,0.036842704
6,0.12,0.4079078733921051,0.9939227695576847,1.7251892,13.929692,0.5692517161369324,36.07792663574219,54.0,135.71574,0.2727272727272727,"left_hip_pitch_joint,left_hip_yaw_joint,left_knee_joint,right_hip_pitch_joint,right_hip_yaw_joint,right_knee_joint",0.0,0.0,0,pelvis,0.0,0.7911737561225891,0.694959819316864,35.46011734008789,35.92302322387695,54.0,54.0,-135.71574,-128.56168,False,0.04508394
7,0.14,0.40448957681655884,0.9930421113967896,1.7773727,21.170502,0.3627665042877197,36.06978225708008,54.0,115.97537,0.2727272727272727,"left_hip_pitch_joint,left_hip_yaw_joint,left_knee_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint",416.0208,416.0208,0,left_ankle_roll_link,416.0208,0.21781325340270996,0.12511426210403442,-33.147308349609375,-22.783430099487305,-54.0,-54.0,115.97537,93.145325,False,0.031721257
8,0.16,0.40490251779556274,0.9984788872534409,1.1601257,9.32801,0.7524389028549194,36.02682113647461,54.0,144.84975,0.36363636363636365,"left_hip_pitch_joint,left_hip_yaw_joint,left_knee_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_roll_joint",0.0,0.0,0,pelvis,0.0,0.8851543068885803,0.8698979020118713,35.99863815307617,36.02682113647461,54.0,54.0,-144.84975,-142.8681,False,0.056403305
9,0.18,0.41587457060813904,0.9305674955248833,3.234523,23.09885,0.5145370364189148,38.04833221435547,54.0,100.39556,0.2727272727272727,"left_hip_pitch_joint,left_hip_yaw_joint,left_knee_joint,right_hip_pitch_joint,right_hip_yaw_joint,right_knee_joint",0.0,302.35144,0,right_ankle_roll_link,302.35144,0.3369631767272949,0.47738438844680786,-31.13136863708496,-15.086406707763672,-54.0,-54.0,100.39556,41.87265,False,0.031104758
