frame,t,rx,ry,rz,qx,qy,qz,qw,roll,pitch,yaw,pgz,lv_norm,av_norm,rlv_x,rlv_y,rlv_z,rav_x,rav_y,rav_z,dof_vel_max,dof_pos_err_max,tau_max,tau_sat_ratio,L_fz_norm,R_fz_norm,top_cf_name,top_cf_val,non_foot_cf_sum,bz_min,bz_min_name,L_box_bot,R_box_bot,apparent_force_norm,apparent_force_z
10,0.2,-5.820766091346741e-10,-1.1823431123048067e-10,0.1913476288318634,5.946825497316066e-12,2.206052146513926e-10,1.9115872079700225e-13,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,1.0,1.9620014,3.7574367e-07,-6.8112462e-09,2.2710404e-08,-1.9620014,3.5649944e-07,5.8106966e-08,1.03513464e-07,2.7843425414175726e-06,2.675435553101124e-07,0.0,0.0,0.0,0.0,pelvis,0.0,0,-0.18709774,left_ankle_roll_link,-0.20709774315357207,-0.20709592521190642,160.33447,-160.33447
11,0.22,-5.820766091346741e-10,-1.1823431123048067e-10,0.14990031719207764,5.946825497316066e-12,2.206052146513926e-10,1.9115872079700225e-13,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,1.0,2.158201,4.407187e-07,-1.12815925e-08,2.3958373e-08,-2.158201,4.2146854e-07,8.075674e-08,1.003772e-07,3.050786290259566e-06,3.2629452562105143e-07,0.0,0.0,0.0,0.0,pelvis,0.0,0,-0.22854505,left_ankle_roll_link,-0.24854505479335784,-0.24854325175285338,160.33379,-160.33379
12,0.24,-3.4924596548080444e-10,-8.913048077374697e-11,0.1045290008187294,5.946825497316066e-12,2.206052146513926e-10,1.9115872079700225e-13,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,1.0,2.3544004,4.964341e-07,-1.2697206e-08,2.5579453e-08,-2.3544004,4.7658426e-07,9.0293476e-08,1.0564734e-07,3.3705193800415145e-06,3.91007233702112e-07,0.0,0.0,0.0,0.0,pelvis,0.0,0,-0.27391633,left_ankle_roll_link,-0.2939163339138031,-0.29391454577445986,160.3337,-160.3337
13,0.26,-3.4924596548080444e-10,-2.3646862246096134e-11,0.055233828723430634,5.946825497316066e-12,2.206052146513926e-10,1.9115872079700225e-13,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,1.0,2.5505998,5.43356e-07,-1.3665783e-08,2.7649598e-08,-2.5505998,5.2207e-07,9.923414e-08,1.132749e-07,3.4770976071740733e-06,4.596163307724055e-07,0.0,0.0,0.0,0.0,pelvis,0.0,0,-0.32321152,left_ankle_roll_link,-0.3432115209102631,-0.34320970296859743,160.3337,-160.3337
14,0.28,-3.4924596548080444e-10,9.276845958083868e-11,0.0020146071910858154,5.946825497316066e-12,2.206052146513926e-10,1.9115872079700225e-13,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,1.0,2.7467992,5.4482314e-07,-1.3880622e-08,3.034286e-08,-2.7467992,5.209821e-07,9.7849444e-08,1.2583887e-07,3.663608822535025e-06,5.314894906405243e-07,0.0,0.0,0.0,0.0,pelvis,0.0,0,-0.37643075,left_ankle_roll_link,-0.3964307498931885,-0.39642893195152284,160.3337,-160.3337
15,0.3,-3.4924596548080444e-10,-3.1523086363449693e-09,-0.05512857437133789,5.946825497316066e-12,2.206052146513926e-10,1.9115872079700225e-13,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,1.0,2.9429986,5.7054655e-07,-1.4029634e-08,3.2801548e-08,-2.9429986,5.48512e-07,9.963759e-08,1.213685e-07,3.876764822052792e-06,6.068931952540879e-07,0.0,0.0,0.0,0.0,pelvis,0.0,0,-0.43357393,left_ankle_roll_link,-0.4535739314556122,-0.45357211351394655,160.3337,-160.3337
16,0.32,-3.4924596548080444e-10,4.18367562815547e-11,-0.11619580537080765,5.946825497316066e-12,2.206052146513926e-10,1.9115872079700225e-13,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,1.0,3.139198,5.676305e-07,-1.4178642e-08,3.6721264e-08,-3.139198,5.4050275e-07,1.03213935e-07,1.3931265e-07,4.06327671953477e-06,6.862268264740123e-07,0.0,0.0,0.0,0.0,pelvis,0.0,0,-0.4946411,left_ankle_roll_link,-0.5146410953998566,-0.5146393072605133,160.3337,-160.3337
17,0.34,-8.149072527885437e-10,-1.0368239600211382e-10,-0.1811869740486145,5.946825497316066e-12,2.206052146513926e-10,1.9115872079700225e-13,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,1.0,3.3353975,5.682332e-07,-1.3508082e-08,4.0571415e-08,-3.3353975,5.402234e-07,9.725348e-08,1.4693319e-07,4.289754997444106e-06,7.700567721258267e-07,0.0,0.0,0.0,0.0,pelvis,0.0,0,-0.55963236,left_ankle_roll_link,-0.5796323609352112,-0.5796305131912232,160.3337,-160.3337
18,0.36,-8.149072527885437e-10,-3.166860551573336e-09,-0.250102162361145,5.946825497316066e-12,2.206052146513926e-10,1.9115872079700225e-13,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,1.0,3.531597,6.219853e-07,-1.3806113e-08,4.221404e-08,-3.531597,5.9546943e-07,9.904163e-08,1.4990879e-07,4.5561996557808015e-06,8.588491482441896e-07,0.0,0.0,0.0,0.0,pelvis,0.0,0,-0.6285475,left_ankle_roll_link,-0.6485474896430969,-0.6485457611083985,160.3337,-160.3337
19,0.38,-8.149072527885437e-10,1.9463186617940664e-10,-0.32294130325317383,5.946825497316066e-12,2.206052146513926e-10,1.9115872079700225e-13,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,1.0,3.7277963,6.824351e-07,-1.6488313e-08,4.355776e-08,-3.7277963,6.540868e-07,1.12154666e-07,1.590893e-07,4.955864824296441e-06,9.543028909320128e-07,0.0,0.0,0.0,0.0,pelvis,0.0,0,-0.7013867,left_ankle_roll_link,-0.7213866901397705,-0.721384961605072,160.3337,-160.3337
20,0.4,-8.149072527885437e-10,1.3642420526593924e-10,-0.3997043967247009,5.946825497316066e-12,2.206052146513926e-10,1.9115872079700225e-13,1.0,6.814560049988273e-10,2.5279495476204646e-08,2.190517598790856e-11,1.0,3.9239957,7.582386e-07,-1.8312521e-08,4.4608672e-08,-3.9239957,7.274052e-07,1.2362862e-07,1.7470948e-07,5.248953584668925e-06,1.0565510137894307e-06,0.0,0.0,0.0,0.0,pelvis,0.0,0,-0.7781497,left_ankle_roll_link,-0.7981497240066528,-0.7981479954719544,160.3337,-160.3337
