frame,t,rz,pgz,lv_norm,av_norm,top_cf_name,top_cf_val,apparent_force_norm,tau_tensor_norm,tau_tensor_max,tau_tensor_nz,wrote_actuation,control_mode
39,0.78,9.000429153442383,0.7474804154170154,11.470681,9.82933,pelvis,0.0,168.99802,0.0,0.0,0,True,noPD_zero_write
40,0.8,9.23154067993164,0.617941987823643,11.555775,8.888468,pelvis,0.0,144.35854,0.0,0.0,0,True,noPD_zero_write
41,0.8200000000000001,9.464756965637207,0.4871574146782045,11.628879,7.8712797,pelvis,0.0,132.97339,0.0,0.0,0,True,noPD_zero_write
42,0.84,9.699450492858887,0.3635534910419249,11.681524,7.090181,pelvis,0.0,117.3872,0.0,0.0,0,True,noPD_zero_write
43,0.86,9.935149192810059,0.2470554101805984,11.712286,6.745111,pelvis,0.0,97.39533,0.0,0.0,0,True,noPD_zero_write
44,0.88,10.171589851379395,0.13023088545394756,11.737965,6.9797015,pelvis,0.0,126.665016,0.0,0.0,0,True,noPD_zero_write
45,0.9,10.40850830078125,0.006173281090161353,11.695927,7.2701488,pelvis,0.0,90.64013,0.0,0.0,0,True,noPD_zero_write
46,0.92,10.64504337310791,-0.12799971139539146,11.630249,7.765852,pelvis,0.0,93.39948,0.0,0.0,0,True,noPD_zero_write
47,0.9400000000000001,10.880800247192383,-0.27318312721856763,11.550552,8.317312,pelvis,0.0,92.3583,0.0,0.0,0,True,noPD_zero_write
48,0.96,11.1155366897583,-0.42069932640368,11.501608,7.8910303,pelvis,0.0,106.8049,0.0,0.0,0,True,noPD_zero_write
49,0.98,11.348594665527344,-0.5567635904300943,11.409995,7.9449162,pelvis,0.0,100.13175,0.0,0.0,0,True,noPD_zero_write
50,1.0,11.57900333404541,-0.6791384223302064,11.307097,7.8293295,pelvis,0.0,102.9587,0.0,0.0,0,True,noPD_zero_write
