frame,t,rz,pgz,lv_norm,av_norm,dof_vel_max,dof_pos_err_max,tau_max,tau_norm,top_cf_name,top_cf_val,non_foot_cf_sum,apparent_force_norm,wrote_act
0,0.0,0.4103291630744934,0.9999562098754664,0.0,0.0,0.0,0.13505227565765382,0.0,0.0,pelvis,0.0,0,0.0,True
1,0.02,0.40812188386917114,0.9999562098754664,0.192132,0.068791136,1.3132964372634888,0.13505227565765382,0.0,0.0,right_ankle_roll_link,22.089802,0,157.00983,True
2,0.04,0.40541887283325195,0.9999913937033045,0.14663234,0.2582378,4.806925296783447,0.20083011388778688,0.0,0.0,left_ankle_roll_link,59.084984,0,72.8116,True
3,0.06,0.40141060948371887,0.9999559568497703,0.27707157,0.3905135,6.7774529457092285,0.3190253496170044,0.0,0.0,left_ankle_roll_link,32.486217,0,108.18044,True
4,0.08,0.39438244700431824,0.9998376411106972,0.44561344,0.48682073,8.261138916015625,0.4721397876739502,0.0,0.0,left_ankle_roll_link,21.564867,0,140.14021,True
5,0.1,0.38366594910621643,0.9996046631125232,0.637214,0.51874614,9.236923217773438,0.6496155977249145,0.0,0.0,left_ankle_roll_link,15.61998,0,159.72214,True
6,0.12,0.3689139187335968,0.9992680061799254,0.8397581,0.49306056,9.902889251708984,0.8432081460952758,0.0,0.0,left_ankle_roll_link,13.290787,0,168.93521,True
7,0.14,0.34997889399528503,0.998877678335721,1.0470955,0.4264453,10.402449607849121,1.0480985164642334,0.0,0.0,left_ankle_roll_link,11.586338,0,172.83444,True
8,0.16,0.3281234800815582,0.9981055734370837,1.1728992,1.3498247,14.14238452911377,1.3032443046569824,0.0,0.0,left_ankle_roll_link,14.496825,0,194.489,True
9,0.18,0.30315062403678894,0.9965235078559548,1.3747677,0.9269453,12.686907768249512,1.5675071001052856,0.0,0.0,left_ankle_roll_link,4.2259965,0,202.85805,True
10,0.2,0.2736433744430542,0.9952970174273115,1.5839635,0.5328834,11.921554565429688,1.8115381717681884,0.0,0.0,left_ankle_roll_link,5.2479734,0,197.59738,True
11,0.22,0.23968899250030518,0.9947587592592251,1.7967594,0.2602514,11.677599906921387,2.0470835685729982,0.0,0.0,left_ankle_roll_link,6.3378654,0,195.03918,True
12,0.24,0.2169673591852188,0.9928193036603646,0.6703005,3.6694083,14.031050682067871,2.137901258468628,0.0,0.0,right_ankle_roll_link,45.87577,0,1494.9902,True
13,0.26,0.21329395473003387,0.9812403395548838,0.76514846,3.818882,10.500540733337402,2.1435012340545656,0.0,0.0,left_ankle_roll_link,4.9473953,0,176.76176,True
14,0.28,0.2067004144191742,0.9648062725033868,0.8184391,3.5851283,11.05920124053955,2.143532466888428,0.0,0.0,right_ankle_roll_link,11.586026,0,120.334595,True
15,0.3,0.1970805674791336,0.9441386448115965,0.90314096,3.5108051,11.404040336608887,2.143518877029419,0.0,0.0,right_ankle_roll_link,8.840925,0,134.95555,True
16,0.32,0.1842905580997467,0.9193553869019966,1.0138478,3.4696767,11.551764488220215,2.143497896194458,0.0,0.0,left_ankle_roll_link,4.7388844,0,142.29187,True
17,0.34,0.16817867755889893,0.8904651121363066,1.1249392,3.4202216,9.800501823425293,2.143650245666504,0.0,0.0,left_ankle_roll_link,143.26498,0,163.68051,True
18,0.36,0.15045589208602905,0.8571304150930333,1.1074313,4.138679,11.850566864013672,2.2860692977905273,0.0,0.0,left_ankle_roll_link,303.7076,0,46.69235,True
19,0.38,0.13492648303508759,0.8077131612335342,1.1012148,4.7924848,11.645134925842285,2.505569839477539,0.0,0.0,left_ankle_roll_link,10.542064,0,85.1427,True
20,0.4,0.11786605417728424,0.7490319188016348,1.1909679,4.7242274,11.520848274230957,2.7371362686157226,0.0,0.0,left_ankle_roll_link,21.802286,0,132.54744,True
21,0.42,0.09844459593296051,0.6865997784492455,1.1895736,9.795506,19.10783576965332,2.955363655090332,0.0,0.0,left_ankle_roll_link,356.98978,0,87.59494,True
22,0.44,0.10087817907333374,0.6840386494166002,0.55301625,1.3685457,13.683548927307129,2.951321506500244,0.0,0.0,left_ankle_roll_link,1.1422894,0,1238.3674,True
23,0.46,0.10643095523118973,0.7002890392486456,0.41985533,1.313401,10.751260757446289,2.940226697921753,0.0,0.0,right_ankle_roll_link,5.480014,0,159.72,True
24,0.48,0.10813534259796143,0.7156464419222182,0.34212333,1.2803532,7.467597484588623,2.9288219451904296,0.0,0.0,right_ankle_roll_link,12.6436825,0,156.64288,True
25,0.5,0.10609631985425949,0.7301786300658117,0.35700864,1.2599041,4.772377967834473,2.9250442028045653,0.0,0.0,right_ankle_roll_link,16.414015,0,155.20534,True
26,0.52,0.10031524300575256,0.743918266989037,0.45639512,1.2574059,4.471888542175293,2.927546167373657,0.0,0.0,right_ankle_roll_link,18.292385,0,155.06218,True
27,0.54,0.09080284833908081,0.7567554926096189,0.59524435,1.309365,3.4754905700683594,2.935059690475464,0.0,0.0,left_ankle_roll_link,86.92108,0,154.44423,True
28,0.56,0.07906238734722137,0.7740375801764924,0.55903023,1.7328101,12.063863754272461,2.95424427986145,0.0,0.0,left_ankle_roll_link,40.26905,0,94.187996,True
29,0.58,0.067328080534935,0.7935661944570079,0.7028642,1.9275063,13.695810317993164,2.954310083389282,0.0,0.0,left_ankle_roll_link,26.486853,0,146.14565,True
30,0.6,0.051925309002399445,0.8133957298421749,0.86553997,2.0271297,15.6474609375,2.954464817047119,0.0,0.0,left_ankle_roll_link,40.0576,0,148.32327,True
31,0.62,0.03896966576576233,0.8354354046368022,0.5568585,4.4864674,6.161835193634033,2.954018497467041,0.0,0.0,right_ankle_roll_link,177.36386,0,320.44745,True
32,0.64,0.03064798191189766,0.8584600016007999,0.46398133,2.6209698,5.863265037536621,2.954467439651489,0.0,0.0,left_ankle_roll_link,189.91591,0,100.50482,True
33,0.66,0.020294729620218277,0.88117998604878,0.58008766,2.9136274,5.109107494354248,2.9543105602264403,0.0,0.0,left_ankle_roll_link,13.882388,0,113.777016,True
34,0.68,0.007433917373418808,0.9000412409845433,0.69122636,3.6584573,5.008129596710205,2.9543270111083983,0.0,0.0,left_ankle_roll_link,34.907196,0,102.470245,True
35,0.7000000000000001,-0.0017187558114528656,0.9170543376332809,0.10708533,2.6608326,13.506437301635742,2.9543251037597655,0.0,0.0,pelvis,53.975307,53.97530746459961,490.37167,True
36,0.72,-0.00022126361727714539,0.9290115512300914,0.3902544,1.8392658,13.32502269744873,2.928228521347046,0.0,0.0,right_hip_yaw_link,38.840015,38.84001541137695,368.8144,True
37,0.74,0.0049022287130355835,0.9325491438557374,0.26667207,1.0335628,9.050456047058105,2.8748859405517577,0.0,0.0,right_hip_yaw_link,86.60228,86.60227966308594,106.52551,True
38,0.76,0.007443413138389587,0.9379242074915344,0.13514447,1.1016706,9.70821762084961,2.82706036567688,0.0,0.0,right_hip_yaw_link,12.458517,15.133074283599854,130.23817,True
39,0.78,0.006410665810108185,0.9424308825407424,0.16087669,1.0869439,10.186317443847656,2.796573543548584,0.0,0.0,right_hip_yaw_link,14.529506,18.611782550811768,153.56952,True
40,0.8,0.002401437610387802,0.9463418915357997,0.21126795,1.791368,10.79869270324707,2.8386804103851317,0.0,0.0,left_ankle_roll_link,22.996113,35.91347885131836,81.85102,True
41,0.8200000000000001,-0.0011418871581554413,0.9498814980895496,0.09805492,0.82969,7.790321350097656,2.9029830932617187,0.0,0.0,right_hip_yaw_link,19.067295,38.13459014892578,94.75018,True
42,0.84,-0.003906853497028351,0.9519748958480658,0.08426164,0.5606027,7.6887078285217285,2.9516624450683593,0.0,0.0,pelvis,210.68687,421.3737487792969,24.435349,True
43,0.86,-0.004078041762113571,0.952673380165725,0.0062785437,0.15606974,7.068737983703613,2.953976058959961,0.0,0.0,pelvis,53.152172,56.568567991256714,65.62902,True
44,0.88,-0.004133284091949463,0.9528245908262168,0.001302753,0.0538162,9.5054349899292,2.9467514991760253,0.0,0.0,pelvis,55.110634,108.35161972045898,5.74542,True
45,0.9,-0.004053603857755661,0.9524624561157706,0.044411033,0.5499377,14.101180076599121,2.9296974182128905,0.0,0.0,right_hip_yaw_link,320.11862,320.1186218261719,35.60259,True
46,0.92,-0.0032239146530628204,0.9511070177695937,0.027199602,0.4196366,5.534671306610107,2.9461034774780273,0.0,0.0,right_ankle_roll_link,24.780828,31.706340789794922,28.136755,True
47,0.9400000000000001,-0.0033625513315200806,0.9495034811982198,0.025282016,0.4622675,7.6608405113220215,2.9543243885040282,0.0,0.0,right_hip_yaw_link,52.37144,114.12381362915039,41.10187,True
48,0.96,-0.0035040415823459625,0.9473418415974971,0.012062037,0.39619216,9.88231086730957,2.952777290344238,0.0,0.0,pelvis,51.442677,69.50338912010193,27.607286,True
49,0.98,-0.0032813288271427155,0.9449041556359495,0.012812879,0.47348258,11.826689720153809,2.949370765686035,0.0,0.0,right_hip_yaw_link,59.46591,138.62655115127563,1.6825486,True
50,1.0,-0.003017440438270569,0.9420755001816863,0.015170629,0.5152581,13.319562911987305,2.947396421432495,0.0,0.0,pelvis,37.443394,83.70639157295227,2.0554025,True
51,1.02,-0.0026964880526065826,0.9387604587399373,0.016798167,0.56211734,14.158485412597656,2.9463387966156005,0.0,0.0,pelvis,38.279457,82.45783615112305,1.6770756,True
52,1.04,-0.0022899769246578217,0.9344929425388332,0.02285691,0.7715514,11.602242469787598,2.9453901290893554,0.0,0.0,right_hip_yaw_link,57.581512,119.97889947891235,5.0046062,True
