frame,t,rz,pgz,lv_norm,av_norm,dof_pos_err_max,dof_vel_max,tau_max,tau_cmd_max,tau_sat,saturated_joints,L_fz,R_fz,non_foot_cf_sum,top_cf,top_cf_val,kneeL,kneeR,kneeL_vel,kneeR_vel,kneeL_tau,kneeR_tau,kneeL_tau_cmd,kneeR_tau_cmd,knee_hit,bz_min
0,0.0,0.4103291630744934,0.9999562098746537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,pelvis,0.0,0.4244813621044159,0.4350522756576538,0.0,0.0,0.0,0.0,0.0,0.0,False,0.03364689
1,0.02,0.40812188386917114,0.9999562098746537,0.192132,0.068791136,1.4901161193847656e-08,1.3132964372634888,0.0,1.3132964,0.0,,0.0,22.089802,0,right_ankle_roll_link,22.089802,0.4244813621044159,0.4350522756576538,0.012202293612062931,-0.16971461474895477,0.0,0.0,-0.03660688,0.5091438,False,0.0314397
2,0.04,0.40516412258148193,0.9999667188749299,0.17573176,0.6272769,0.088559091091156,6.679009437561035,1.3132964,27.121758,0.0,,48.359135,29.415897,0,left_ankle_roll_link,48.359135,0.47356897592544556,0.5236113667488098,4.224009990692139,6.679009437561035,-0.03660688,0.5091438,-16.59904,-27.121758,False,0.030997872
3,0.06,0.410525918006897,0.995727970264852,1.5222374,8.059941,0.4002099335193634,36.01874542236328,27.121758,140.07303,0.0,,0.0,0.0,0,pelvis,0.0,0.14038965106010437,0.03484233841300011,-35.669803619384766,-36.01874542236328,-16.59904,-27.121758,129.73676,140.07303,False,0.032046437
4,0.08,0.4085250496864319,0.999627671262715,1.1618408,4.901918,0.46735256910324097,36.080589294433594,108.0,143.62404,0.09090909090909091,"left_knee_joint,right_knee_joint",0.0,0.0,0,pelvis,0.0,0.8670663833618164,0.7636953592300415,36.072410583496094,36.080589294433594,108.0,108.0,-143.62404,-134.53322,False,0.052417938
5,0.1,0.4109937250614166,0.9954095520079136,0.24894772,4.3085213,0.39580798149108887,36.669029235839844,108.0,133.47552,0.09090909090909091,"left_knee_joint,right_knee_joint",130.80487,25.718689,0,left_ankle_roll_link,130.80487,0.19542060792446136,0.09845561534166336,-33.82614517211914,-35.51593017578125,-108.0,-108.0,119.8033,133.47552,False,0.034682114
6,0.12,0.40602943301200867,0.9997698334045708,0.98678493,6.8371186,0.5195208191871643,36.100807189941406,108.0,147.53906,0.09090909090909091,"left_knee_joint,right_knee_joint",0.0,0.0,0,pelvis,0.0,0.9163748025894165,0.8110033869743347,36.062530517578125,36.100807189941406,108.0,108.0,-147.53906,-138.37851,False,0.057997692
7,0.14,0.4050150215625763,0.9911805205047131,0.61544716,8.669495,0.3673286736011505,35.909645080566406,108.0,114.80601,0.13636363636363635,"left_knee_joint,right_hip_yaw_joint,right_knee_joint",226.90501,1621.2576,0,right_ankle_roll_link,1621.2576,0.2662181854248047,0.19216974079608917,-34.048316955566406,-11.654497146606445,-108.0,-108.0,114.80601,54.394096,False,0.030608255
8,0.16,0.4037523865699768,0.9994851249502972,1.3102291,14.43539,0.5557959079742432,36.072628021240234,108.0,152.04015,0.045454545454545456,left_knee_joint,0.0,0.0,0,pelvis,0.0,0.9728431701660156,0.8771390914916992,36.05706787109375,36.072628021240234,108.0,54.394096,-152.04015,-143.58482,False,0.060636133
9,0.18,0.4098249077796936,0.9804956372827291,2.1490996,23.140593,0.47787636518478394,40.351783752441406,108.0,107.379326,0.13636363636363635,"left_hip_yaw_joint,left_knee_joint,right_knee_joint",0.0,1618.0728,0,right_ankle_roll_link,1618.0728,0.33170342445373535,0.33601391315460205,-33.31903076171875,-12.715320587158203,-108.0,-108.0,107.379326,46.06903,False,0.031309176
