frame,time_s,left_foot_x,left_foot_y,left_foot_z,left_foot_xy_drift_from_0p5,left_foot_z_delta_from_0p5,left_foot_speed,left_foot_speed_xy,left_foot_speed_z,left_foot_roll,left_foot_pitch,left_foot_yaw,left_foot_rot_drift_deg,left_foot_contact_patch_min_z,right_foot_z,right_foot_contact_patch_min_z,root_vx,root_vy,root_vz,root_speed,root_roll,root_pitch,root_yaw,root_height,root_rel_left_foot_x_world,root_rel_left_foot_y_world,root_rel_left_foot_x_local,root_rel_left_foot_y_local,com_x,com_y,com_z,com_rel_left_foot_x_world,com_rel_left_foot_y_world,com_rel_left_foot_x_local,com_rel_left_foot_y_local
25,0.5,-0.09921369701623917,0.08396189659833908,0.006305433809757233,0.0,0.0,0.04425331577658653,0.010894956067204475,0.042891211807727814,0.04918008310040591,-0.1798139477948928,0.7876369173555553,0.0,-0.033326705080018365,0.19052767753601074,0.14847425266650802,0.21498624980449677,0.08722025901079178,0.020609015598893166,0.2329188585281372,-0.21090384188033448,-0.0678682934434387,0.7258355735702394,0.7760972380638123,0.07311536371707916,-0.028338339179754257,0.031501453402671034,-0.07180930519415235,0.037756065102063516,0.06515190765330231,0.7214868859214927,0.1369697621183027,-0.01880998894503677,0.08330476241735955,-0.11033969357146192
26,0.52,-0.09942300617694855,0.08403633534908295,0.007377650588750839,0.0002221518661826849,0.0010722167789936066,0.040680475533008575,0.013006271794438362,0.03854527324438095,0.0414482297520356,-0.16681575476494337,0.7866763796408175,0.8731129153033093,-0.03150418279935594,0.1917802095413208,0.14738650905987366,0.1755177080631256,0.0738307386636734,0.02017066441476345,0.19147923588752747,-0.20333251847720119,-0.06681895084229494,0.7220238420875379,0.7765427231788635,0.07885465025901794,-0.026460248976945877,0.036953218871850727,-0.07451617447509701,0.043116402282632194,0.06444684168319013,0.7210246932284214,0.14253940845958074,-0.019589493665892813,0.08679210967819129,-0.11475347891764356
27,0.54,-0.09966917335987091,0.08424659818410873,0.00830649770796299,0.0005371347069740295,0.002001063898205757,0.03218449279665947,0.012964308261871338,0.029457906261086464,0.03190611384645794,-0.1561350105389796,0.7844552860979357,1.7069599171507681,-0.029876375868823392,0.201485276222229,0.1543705319587105,0.12164092063903809,0.055564407259225845,0.018627865239977837,0.1350218951702118,-0.20215564422714885,-0.06938933801089808,0.7200099105530798,0.7770738005638123,0.08004092425107956,-0.024056948721408844,0.03965603473424864,-0.073570953819477,0.045321463945201326,0.06503172539000783,0.7216895134681341,0.14499063730507222,-0.019214872794100904,0.08904633471072976,-0.11602692151914212
28,0.56,-0.09995278716087341,0.08469848334789276,0.00876673124730587,0.001043462660163641,0.0024612974375486374,0.021337898448109627,0.010894151404500008,0.018347300589084625,0.030221507281613137,-0.15105224897131686,0.7784712468640813,2.0878581050308087,-0.02914886926219741,0.2059781849384308,0.15779474495235396,0.07206341624259949,0.03856952488422394,0.016024664044380188,0.08329186588525772,-0.1999895314346499,-0.0692641073996656,0.7130201701837549,0.7774586081504822,0.082135871052742,-0.02547425776720047,0.04059192745998787,-0.07581249598493324,0.047730651699871667,0.06247541906752493,0.7219343853745532,0.1476834388607451,-0.022223064280367834,0.08954396053384434,-0.11952464947306109
29,0.58,-0.10003998875617981,0.08488535135984421,0.008882489055395126,0.0012391636846587062,0.0025770552456378937,0.010930790565907955,0.00728455139324069,0.008149692788720131,0.032056777753499396,-0.1490706076263124,0.7749852933072866,2.196241862456541,-0.028987905963551046,0.21076157689094543,0.16200830748696404,0.03852284699678421,0.025940168648958206,0.012778661213815212,0.04816841706633568,-0.20233479179251146,-0.07160585303074285,0.708941851397043,0.7777705192565918,0.08225813508033752,-0.025870617479085922,0.04066597328469844,-0.07603925468106874,0.048411393220668404,0.06093036265469095,0.7224942689977742,0.1484513819768482,-0.02395498870515326,0.08929687845743242,-0.12098645292948569
30,0.6,-0.10005288571119308,0.0849616527557373,0.008504623547196388,0.0013052778085693717,0.0021991897374391556,0.0031367954798042774,0.002997695468366146,0.000923745974432677,0.03312137301173898,-0.15156612306265704,0.7730495667924585,2.1019445454543293,-0.029502902247383618,0.21361839771270752,0.16479116438202765,0.02341245487332344,0.01713830791413784,0.00952828023582697,0.030539365485310555,-0.2085807499688906,-0.07215141051744789,0.707587776212328,0.7779881954193115,0.08045712858438492,-0.023953881114721298,0.040862453666976925,-0.07333074280829709,0.0472104562543533,0.061730741176636954,0.7229325348476064,0.14726334196554638,-0.02323091157910035,0.08918616565251845,-0.1194654552406635
31,0.62,-0.10001319646835327,0.08491156995296478,0.00861213356256485,0.0012414020020514727,0.002306699752807617,0.0029473293107002974,0.0014563852455466986,-0.002562360605224967,0.034185263032059265,-0.15033854851696016,0.7732094783738439,2.122932283687017,-0.029365619915179567,0.2110411673784256,0.16229677607575574,0.022830327972769737,0.010744026862084866,0.006792252883315086,0.026130301877856255,-0.2063496455561891,-0.06996355707130131,0.7058710814776424,0.7780160307884216,0.0824442058801651,-0.024092398583889008,0.04217607821723928,-0.07482425528496318,0.048902184640555575,0.06077173148015649,0.7225819424728841,0.14891538110890884,-0.02413983847280829,0.08971455293775896,-0.12128405304689849
32,0.64,-0.09993849694728851,0.08486225455999374,0.008241817355155945,0.0011558457044884562,0.0019363835453987122,0.005766693968325853,0.005143152084201574,-0.002608207520097494,0.03579692326347815,-0.15301396287548652,0.7731332595499024,1.9614794200615324,-0.02989383006598202,0.21016207337379456,0.16179676394267373,0.030619589611887932,0.006543449126183987,0.004727826453745365,0.03166588768362999,-0.20890737436406956,-0.07026672511722065,0.7047327562589143,0.7781351208686829,0.08165283501148224,-0.024603616446256638,0.041258351469903545,-0.07463425380904373,0.04801444742965989,0.05974930243075018,0.7226545846836762,0.1479529443769484,-0.02511295212924356,0.08835535153398934,-0.12130154974178703
33,0.66,-0.09982103109359741,0.08471869677305222,0.008032124489545822,0.0009703613468445837,0.0017266906797885895,0.008699874393641949,0.008698606863617897,-0.00014853692846372724,0.03615198018053385,-0.15403924805535385,0.7745183559215272,1.8679986240867879,-0.03015773028940756,0.20673471689224243,0.159002901936051,0.04075491055846214,0.004738014657050371,0.003162830602377653,0.041151124984025955,-0.20967670280504472,-0.06802042847387968,0.7050408990778267,0.7782167792320251,0.0819896012544632,-0.024036359041929245,0.04179236653377237,-0.07452140208936778,0.04787640267507921,0.059830326217887635,0.7224244125062348,0.1476974337686766,-0.02488837055516458,0.08816169029592952,-0.12108459561359737
34,0.68,-0.09976044297218323,0.08459718525409698,0.008253209292888641,0.0008381663355976343,0.0019477754831314087,0.012875262647867203,0.012349695898592472,0.003641070332378149,0.03573730293744679,-0.1513668509019852,0.7756498818316584,1.9737835633064098,-0.029807335025541767,0.1999882310628891,0.15321770934203371,0.04820440337061882,0.004146300256252289,0.0018118270672857761,0.04841630905866623,-0.2056953886712318,-0.0641135169688416,0.7040114202179651,0.7782465815544128,0.08393920958042145,-0.023983847349882126,0.04313673889930383,-0.07589622912781406,0.048782309957800134,0.059596567457561436,0.7217718416708496,0.14854275292998337,-0.02500061779653555,0.08854955949867559,-0.12185629179823684
