step,done,reward,root_height,upper_body_diff_norm,lower_body_diff_norm,joint_pos_diff_norm,policy_action_mean_abs,policy_action_max_abs,final_action_mean_abs,final_action_max_abs,frozen_delta_masked_mean_abs,delta_over_policy_mean,action_clip_frac,scale_zero_final_equals_main
0,0,0.14922623336315155,0.8309988379478455,0.04976772144436836,0.020710311830043793,1.6710811853408813,1.0328847169876099,3.0171144008636475,1.0328847169876099,3.0171144008636475,0.0,0.0,0.0,True
1,0,0.18648028373718262,0.8210747838020325,0.06138400733470917,0.026827555149793625,1.8581101894378662,1.064974308013916,2.768348455429077,1.064974308013916,2.768348455429077,0.0,0.0,0.0,True
2,0,0.18209582567214966,0.8076550364494324,0.07455525547266006,0.04093014448881149,1.7484713792800903,1.1198643445968628,4.022690773010254,1.1198643445968628,4.022690773010254,0.0,0.0,0.0,True
3,0,0.18691980838775635,0.7977221012115479,0.08778637647628784,0.05275224894285202,1.5836167335510254,1.263494610786438,5.154932975769043,1.263494610786438,5.154932975769043,0.0,0.0,0.0,True
4,0,0.18598468601703644,0.7911526560783386,0.10058321058750153,0.06280267238616943,1.5328818559646606,1.289494514465332,5.779024600982666,1.289494514465332,5.779024600982666,0.0,0.0,0.0,True
5,0,0.18419785797595978,0.7853450775146484,0.11031264066696167,0.06960290670394897,1.5075989961624146,1.4208866357803345,6.63605260848999,1.4208866357803345,6.63605260848999,0.0,0.0,0.0,True
6,0,0.18498484790325165,0.7842676043510437,0.11531591415405273,0.07093482464551926,1.4359536170959473,1.5494970083236694,6.723795413970947,1.5494970083236694,6.723795413970947,0.0,0.0,0.0,True
7,0,0.18839921057224274,0.7835965156555176,0.12046456336975098,0.07119003683328629,1.3290349245071411,1.723914384841919,6.920360088348389,1.723914384841919,6.920360088348389,0.0,0.0,0.0,True
8,0,0.1898464560508728,0.7782572507858276,0.1264221966266632,0.07369290292263031,1.36994206905365,1.8037023544311523,6.911923885345459,1.8037023544311523,6.911923885345459,0.0,0.0,0.0,True
9,0,0.18971189856529236,0.7705311179161072,0.13147124648094177,0.07809925079345703,1.4172940254211426,1.9216148853302002,6.6823344230651855,1.9216148853302002,6.6823344230651855,0.0,0.0,0.0,True
10,0,0.1880478709936142,0.7614832520484924,0.13390615582466125,0.08290562033653259,1.5368863344192505,2.0333096981048584,6.416336536407471,2.0333096981048584,6.416336536407471,0.0,0.0,0.0,True
11,0,0.18940569460391998,0.7533313035964966,0.1336498111486435,0.08705954253673553,1.6470413208007812,2.1580634117126465,6.084217548370361,2.1580634117126465,6.084217548370361,0.0,0.0,0.0,True
12,0,0.18870745599269867,0.7470139265060425,0.13148851692676544,0.08989907801151276,1.7562507390975952,2.1702075004577637,5.758546352386475,2.1702075004577637,5.758546352386475,0.0,0.0,0.0,True
13,0,0.18134602904319763,0.7428627014160156,0.12825679779052734,0.09200654923915863,1.7849279642105103,1.9818010330200195,5.50449275970459,1.9818010330200195,5.50449275970459,0.0,0.0,0.0,True
