frame,time_s,left_foot_x,left_foot_y,left_foot_z,left_foot_xy_drift_from_0p5,left_foot_z_delta_from_0p5,left_foot_speed,left_foot_speed_xy,left_foot_speed_z,left_foot_roll,left_foot_pitch,left_foot_yaw,left_foot_rot_drift_deg,left_foot_contact_patch_min_z,right_foot_z,right_foot_contact_patch_min_z,root_vx,root_vy,root_vz,root_speed,root_roll,root_pitch,root_yaw,root_height,root_rel_left_foot_x_world,root_rel_left_foot_y_world,root_rel_left_foot_x_local,root_rel_left_foot_y_local,com_x,com_y,com_z,com_rel_left_foot_x_world,com_rel_left_foot_y_world,com_rel_left_foot_x_local,com_rel_left_foot_y_local
25,0.5,-0.09260131418704987,0.07687685638666153,0.03648430109024048,0.0,0.0,0.22700247168540955,0.1351245641708374,0.18240468204021454,0.04855284984817658,-0.1793482538094866,0.7870976605017069,0.0,-0.00311301571211009,0.22099779546260834,0.17889960422101564,0.21498624980449677,0.08722025901079178,0.16623683273792267,0.2854139804840088,-0.21238013826249683,-0.06786829558745433,0.7258356591160953,0.8060972094535828,0.06650298088788986,-0.021253298968076706,0.0318908517786635,-0.06210734865402652,0.021535928438143934,0.10169318985892417,0.7436754496716539,0.1141372426251938,0.02481633347226264,0.09814753483347292,-0.06332631338709936
26,0.52,-0.0910220816731453,0.07485420256853104,0.03734786808490753,0.002566145732998848,0.0008635669946670532,0.17132164537906647,0.12779350578784943,0.11410488933324814,0.04060856067899273,-0.16602752673084242,0.7864252638461634,0.8928595134519562,-0.0014794808826289682,0.22338855266571045,0.1788539221231116,0.1755177080631256,0.0738307386636734,0.10576510429382324,0.21781574189662933,-0.2080999558874259,-0.06681893108268988,0.7220238667113941,0.806542694568634,0.0704537183046341,-0.017278116196393967,0.03753709204995421,-0.062074362201138156,0.02584371962327971,0.10392743153184371,0.7419406906991786,0.116865801296425,0.029073228963312672,0.10313066243142441,-0.062184681565995666
27,0.54,-0.08976839482784271,0.07327865064144135,0.03796923905611038,0.004579576198011637,0.0014849379658699036,0.11986927688121796,0.10504619032144547,0.057740289717912674,0.030893279758233597,-0.15509619616466686,0.7845768864621372,1.7389815517350196,-0.00014321539529782434,0.23488560318946838,0.18750238660540314,0.12164092063903809,0.055564407259225845,0.06037071719765663,0.1467260718345642,-0.21169357033835934,-0.06938933723801788,0.7200099094513858,0.8070737719535828,0.07014014571905136,-0.013089001178741455,0.04038957127174807,-0.05881874298071353,0.027085697816758236,0.10675653056918558,0.7416289264389794,0.11685409264460095,0.03347787992774423,0.10634914048878819,-0.0588685631686848
28,0.56,-0.0889919325709343,0.07230009883642197,0.0379573255777359,0.005828751716762781,0.0014730244874954224,0.08079342544078827,0.07831943035125732,0.01984049566090107,0.029053171893251423,-0.14976048393629204,0.7792181074224809,2.1192219615886008,0.00012747557907346468,0.241532564163208,0.19293489992296808,0.07206341624259949,0.03856952488422394,0.03280322626233101,0.08807267248630524,-0.21510831540874342,-0.06926410175502462,0.7130202833916318,0.8074585795402527,0.07117501646280289,-0.013075873255729675,0.041449684246646225,-0.059319348493838804,0.028986339409502102,0.10581497562686992,0.7412399420213515,0.1179782719804364,0.033514876790447956,0.1074888864143885,-0.05906148426143229
29,0.58,-0.08837102353572845,0.07149757444858551,0.03763299062848091,0.0068433936685323715,0.0011486895382404327,0.055748991668224335,0.055731259286403656,-0.0014060266548767686,0.030768595675636418,-0.14757786057408295,0.7763645377879279,2.221220135778765,-0.00013973969364367012,0.24850620329380035,0.19920521809597042,0.03852284699678421,0.025940168648958206,0.01829792931675911,0.04991709440946579,-0.22286773713679106,-0.07160584615988719,0.7089419757934982,0.8077704906463623,0.07058916985988617,-0.012482840567827225,0.04161633800171088,-0.058367222149739245,0.0295806217302544,0.10530233736232046,0.7414534782940166,0.11795164526598285,0.03380476291373495,0.1078411077546315,-0.05852903633975229
30,0.6,-0.08792634308338165,0.07093435525894165,0.03696113079786301,0.007560996804386377,0.0004768297076225281,0.040956925600767136,0.039517879486083984,-0.010761359706521034,0.03173130128929305,-0.14994562518294452,0.7750736788529174,2.111663599726619,-0.0009407809036477421,0.253274530172348,0.20379365451797943,0.02341245487332344,0.01713830791413784,0.01100224256515503,0.03103085421025753,-0.2335329786626398,-0.0721514045014171,0.7075878635186353,0.807988166809082,0.06833058595657349,-0.009926583617925644,0.04186697238559946,-0.0549068544241591,0.028293211880695626,0.10657207909346213,0.7415873868008622,0.11621955496407728,0.03563772383452048,0.107961866871074,-0.055868306022880496
31,0.62,-0.08763017505407333,0.07048644870519638,0.036788202822208405,0.00809626653790474,0.000303901731967926,0.03119451180100441,0.02856973372399807,-0.012524689547717571,0.03273957788315144,-0.1485796022637964,0.7756621638209933,2.1334846584795053,-0.0010763715116456907,0.2518894076347351,0.20240894871419676,0.022830327972769737,0.010744026862084866,0.0071075959131121635,0.02621404081583023,-0.2343646033140354,-0.06996355197559367,0.705871310999259,0.8080160021781921,0.07006118446588516,-0.009667277336120605,0.043251790554977756,-0.05595809533610482,0.029901170213545897,0.10591599869413022,0.7413624670876008,0.11753134526761923,0.03542954998893384,0.10871977207879341,-0.05699895869197874
32,0.64,-0.08740050345659256,0.07019279897212982,0.03627847880125046,0.008469064719974995,-0.00020582228899002075,0.023395763710141182,0.021292148157954216,-0.009695676155388355,0.03430646603227399,-0.15117345180971142,0.7758751029015567,1.9642565220588555,-0.001739550385266582,0.25178179144859314,0.20262731529678543,0.030619589611887932,0.006543449126183987,0.0047795274294912815,0.031673647463321686,-0.2387297796897413,-0.07026671313377375,0.7047328158307927,0.8081350922584534,0.06911484152078629,-0.009934160858392715,0.04237745685791874,-0.0554950450099742,0.029033590043821486,0.10498218329433832,0.7413260049974041,0.11643409350041405,0.0347893843222085,0.10747607047649826,-0.0567106133427621
33,0.66,-0.08718902617692947,0.06992730498313904,0.03600302338600159,0.008808468468487263,-0.0004812777042388916,0.017216939479112625,0.016674356535077095,-0.0042882198467850685,0.034635075320506886,-0.1521451883105922,0.7774464723103299,1.8752117252573315,-0.0020662870555247376,0.2487199604511261,0.20016566755227838,0.04075491055846214,0.004738014657050371,0.003168049966916442,0.04115152731537819,-0.24038932988588826,-0.06802041413873039,0.7050408975731969,0.8082167506217957,0.06935759633779526,-0.009244967252016068,0.04294665741227216,-0.055240657186173374,0.028887744420512354,0.10508407046158051,0.7409246511333485,0.11607677059744183,0.035156765478441473,0.10738986178769733,-0.05636694435976228
34,0.68,-0.08712306618690491,0.06975728273391724,0.0361669585108757,0.008983291685581207,-0.0003173425793647766,0.014288500882685184,0.014100523665547371,0.002310088137164712,0.034217842365888346,-0.14941593239599915,0.7786440483894659,1.9951282157636254,-0.0017702013635044755,0.24198366701602936,0.19436070773430408,0.04820440337061882,0.004146300256252289,0.0018118270672857761,0.04841630905866623,-0.23670861149820122,-0.06411352146878846,0.7040114168376655,0.8082465529441833,0.07130183279514313,-0.009143944829702377,0.044335458081142906,-0.05658560102826874,0.029724014579112543,0.10487156756365403,0.740117021919453,0.11684708076601745,0.03511428482973679,0.1078408043036432,-0.05706675222743464
